profession,sense-name,sense-definition,primary-soc,secondary-soc
accountant,accountant.n.01,someone who maintains and audits business accounts,13:Business and Financial Operations Occupations,
acrobat,acrobat.n.01,an athlete who performs acts requiring skill and agility and coordination,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
actor,actor.n.01,a theatrical performer,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
actor,actor.n.02,a person who acts and gets things done,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
actress,actress.n.01,a female actor,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
administrator,administrator.n.01,someone who administers a business,11:Management Occupations,
administrator,administrator.n.02,the party appointed by a probate court to distribute the estate of someone who dies without a will or without naming an executor,11:Management Occupations,
administrator,administrator.n.03,someone who manages a government agency or department,11:Management Occupations,
admiral,admiral.n.01,the supreme commander of a fleet; ranks above a vice admiral and below a fleet admiral,11:Management Occupations,55:Military Specific Occupations
advertiser,advertiser.n.01,someone whose business is advertising,41:Sales and Related Occupations,
adviser,adviser.n.01,an expert who gives advice,General,
airman,aviator.n.01,someone who operates an aircraft,55:Military Specific Occupations,
alderman,alderman.n.01,a member of a municipal legislative body (as a city council),11:Management Occupations,
ambassador,ambassador.n.01,a diplomat of the highest rank; accredited as representative from one country to another,11:Management Occupations,
analyst,analyst.n.01,someone who is skilled at analyzing data,General,
analyst,analyst.n.02,an expert who studies financial data (on credit or securities or sales or financial patterns etc.) and recommends appropriate business actions,13:Business and Financial Operations Occupations,
analyst,analyst.n.03,a licensed practitioner of psychoanalysis,29:Healthcare Practitioners and Technical Occupations,
animator,animator.n.02,the technician who produces animated cartoons,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
animator,energizer.n.01,someone who imparts energy and vitality and spirit to other people,Can't Say,
announcer,announcer.n.01,someone who proclaims a message publicly,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
announcer,announcer.n.02,"reads news, commercials on radio or television","27:Arts, Design, Entertainment, Sports, and Media Occupations",
anthropologist,anthropologist.n.01,a social scientist who specializes in anthropology,"19:Life, Physical, and Social Science Occupations",
apprentice,apprentice.n.01,works for an expert to learn a trade,Can't Say,
archaeologist,archeologist.n.01,an anthropologist who studies prehistoric people and their culture,"19:Life, Physical, and Social Science Occupations",
architect,architect.n.01,someone who creates plans to be used in making something (such as buildings),17:Architecture and Engineering Occupations,
armed guard,,,33:Protective Service Occupations,
artisan,craftsman.n.03,a skilled worker who practices some trade or handicraft,51:Production Occupations,
artist,artist.n.01,a person whose creative work shows sensitivity and imagination,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
astrologer,astrologer.n.01,someone who predicts the future by the positions of the planets and sun and Moon,Can't Say,
astronaut,astronaut.n.01,a person trained to travel in a spacecraft,"19:Life, Physical, and Social Science Occupations",
astronomer,astronomer.n.01,a physicist who studies astronomy,"19:Life, Physical, and Social Science Occupations",
attorney,lawyer.n.01,a professional person authorized to practice law; conducts lawsuits or gives legal advice,23:Legal Occupations,
attorney general,attorney_general.n.01,the chief law officer of a country or state,23:Legal Occupations,
attorney general,attorney_general.n.02,the person who holds the position of secretary of the Justice Department,23:Legal Occupations,
auditor,auditor.n.03,a qualified accountant who inspects the accounting records and practices of a business or other organization,13:Business and Financial Operations Occupations,
author,writer.n.01,writes (books or stories or articles or the like) professionally (for pay),"27:Arts, Design, Entertainment, Sports, and Media Occupations",
aviator,aviator.n.01,someone who operates an aircraft,53:Transportation and Material Moving Occupations,
babysitter,babysitter.n.01,a person engaged to care for children when the parents are not home,39:Personal Care and Service Occupations,
bailiff,bailiff.n.01,an officer of the court who is employed to execute writs and processes and make arrests etc.,33:Protective Service Occupations,
baker,baker.n.01,someone who bakes commercially,51:Production Occupations,
baker,baker.n.02,someone who bakes bread or cake,51:Production Occupations,
ballerina,ballerina.n.01,a female ballet dancer,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
bank manager,bank_manager.n.01,manager of a branch office of a bank,11:Management Occupations,
banker,banker.n.01,a financier who owns or is an executive in a bank,41:Sales and Related Occupations,
banker,banker.n.02,the person in charge of the bank in a gambling game,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
barber,barber.n.02,a hairdresser who cuts hair and shaves beards as a trade,39:Personal Care and Service Occupations,
bard,bard.n.01,a lyric poet,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
barmaid,barmaid.n.01,a female bartender,35:Food Preparation and Serving Related Occupations,
barman,bartender.n.01,an employee who mixes and serves alcoholic drinks at a bar,35:Food Preparation and Serving Related Occupations,
barrister,barrister.n.01,a British or Canadian lawyer who speaks in the higher courts of law on behalf of either the defense or prosecution,23:Legal Occupations,
bartender,bartender.n.01,an employee who mixes and serves alcoholic drinks at a bar,35:Food Preparation and Serving Related Occupations,
baseball player,ballplayer.n.01,an athlete who plays baseball,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
basketball player,basketball_player.n.01,an athlete who plays basketball,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
bass player,,,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
biologist,biologist.n.01,(biology) a scientist who studies living organisms,"19:Life, Physical, and Social Science Occupations",
bishop,bishop.n.01,a senior member of the Christian clergy having spiritual and administrative authority; appointed in Christian churches to oversee priests or ministers; considered in some churches to be successors of the twelve Apostles of Christ,21:Community and Social Service Occupations,
blaster,blaster.n.01,a workman employed to blast with explosives,47:Construction and Extraction Occupations,
bobby,bobby.n.01,an informal term for a British policeman,33:Protective Service Occupations,
bodyguard,bodyguard.n.01,someone who escorts and protects a prominent person,33:Protective Service Occupations,
bodyguard,bodyguard.n.02,a group of men who escort and protect some important person,33:Protective Service Occupations,
bookie,bookmaker.n.02,a gambler who accepts and pays off bets (especially on horse races),39:Personal Care and Service Occupations,
bookkeeper,bookkeeper.n.01,someone who records the transactions of a business,43:Office and Administrative Support Occupations,
border patrol,,,33:Protective Service Occupations,
bouncer,bouncer.n.01,a person whose duty is to throw troublemakers out of a bar or public meeting,33:Protective Service Occupations,
bounty hunter,bounty_hunter.n.01,someone who pursues fugitives or criminals for whom a reward is offered,Can't Say,
bounty hunter,bounty_hunter.n.02,a hunter who kills predatory wild animals in order to collect a bounty,"45:Farming, Fishing, and Forestry Occupations",
bowler,bowler.n.01,a cricketer who delivers the ball to the batsman in cricket,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
bowler,bowler.n.02,a player who rolls balls down an alley at pins,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
boxer,boxer.n.01,someone who fights with his fists for sport,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
boxer,packer.n.01,a workman employed to pack things into containers,53:Transportation and Material Moving Occupations,
boy scout,boy_scout.n.01,a boy who is a member of the Boy Scouts,Can't Say,
breeder,breeder.n.01,a person who breeds animals,"45:Farming, Fishing, and Forestry Occupations",
brewer,brewer.n.01,someone who brews beer or ale from malt and hops and water,35:Food Preparation and Serving Related Occupations,
brewer,brewer.n.02,the owner or manager of a brewery,11:Management Occupations,
broker,agent.n.04,a businessman who buys or sells for another in exchange for a commission,41:Sales and Related Occupations,13:Business and Financial Operations Occupations
builder,builder.n.02,a person who creates a business or who organizes and develops a country,Can't Say,
builder,builder.n.03,someone who contracts for and supervises construction (as of a building),47:Construction and Extraction Occupations,51:Production Occupations
bus driver,busman.n.01,someone who drives a bus,53:Transportation and Material Moving Occupations,
butcher,butcher.n.01,a retailer of meat,51:Production Occupations,
butcher,butcher.n.03,a person who slaughters or dresses meat for market,51:Production Occupations,
butler,butler.n.01,a manservant (usually the head servant of a household) who has charge of wines and the table,39:Personal Care and Service Occupations,
cab driver,,,53:Transportation and Material Moving Occupations,
cadet,cadet.n.01,a military trainee (as at a military academy),55:Military Specific Occupations,
cameraman,cameraman.n.01,a photographer who operates a movie camera,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
captain,captain.n.01,an officer holding a rank below a major but above a lieutenant,33:Protective Service Occupations,
captain,captain.n.02,the naval officer in command of a military ship,55:Military Specific Occupations,
captain,captain.n.03,a policeman in charge of a precinct,33:Protective Service Occupations,
captain,captain.n.06,the pilot in charge of an airship,53:Transportation and Material Moving Occupations,
captain,captain.n.07,a dining-room attendant who is in charge of the waiters and the seating of customers,35:Food Preparation and Serving Related Occupations,
captain,master.n.07,an officer who is licensed to command a merchant ship,53:Transportation and Material Moving Occupations,
cardiologist,cardiologist.n.01,a specialist in cardiology; a specialist in the structure and function and disorders of the heart,29:Healthcare Practitioners and Technical Occupations,
caretaker,caretaker.n.01,a custodian who is hired to take care of something (property or a person),37:Building and Grounds Cleaning and Maintenance Occupations,
caretaker,caretaker.n.02,an official who performs the duties of an office temporarily,43:Office and Administrative Support Occupations,
carpenter,carpenter.n.01,a woodworker who makes or repairs wooden objects,47:Construction and Extraction Occupations,
carrier,carrier.n.01,someone whose employment involves carrying something,General,
carrier,carrier.n.05,a person or firm in the business of transporting people or goods or messages,53:Transportation and Material Moving Occupations,
carrier,carrier.n.08,a boy who delivers newspapers,41:Sales and Related Occupations,43:Office and Administrative Support Occupations
carrier,mailman.n.01,a man who delivers the mail,41:Sales and Related Occupations,43:Office and Administrative Support Occupations
cashier,cashier.n.02,a person responsible for receiving payments for goods and services (as in a shop or restaurant),41:Sales and Related Occupations,
cashier,teller.n.03,an employee of a bank who receives and pays out money,43:Office and Administrative Support Occupations,13:Business and Financial Operations Occupations
ceo,chief_executive_officer.n.01,the corporate executive responsible for the operations of the firm; reports to a board of directors; may appoint other managers (including a president),11:Management Occupations,
chairman,president.n.04,the officer who presides at the meetings of an organization,11:Management Occupations,
chamberlain,chamberlain.n.02,the treasurer of a municipal corporation,11:Management Occupations,
chamberlain,chamberlain.n.03,an officer who manages the household of a king or nobleman,37:Building and Grounds Cleaning and Maintenance Occupations,
chancellor,chancellor_of_the_exchequer.n.01,the British cabinet minister responsible for finance,11:Management Occupations,13:Business and Financial Operations Occupations
chancellor,chancellor.n.02,the person who is head of state (in several countries),11:Management Occupations,
chancellor,chancellor.n.03,the honorary or titular head of a university,11:Management Occupations,
chaplain,chaplain.n.01,a clergyman ministering to some institution,21:Community and Social Service Occupations,
char,charwoman.n.01,a human female employed to do housework,37:Building and Grounds Cleaning and Maintenance Occupations,
chauffeur,chauffeur.n.01,a man paid to drive a privately owned car,53:Transportation and Material Moving Occupations,
chef,chef.n.01,a professional cook,35:Food Preparation and Serving Related Occupations,
chemist,chemist.n.01,a scientist who specializes in chemistry,"19:Life, Physical, and Social Science Occupations",
chemist,pharmacist.n.01,a health professional trained in the art of preparing and dispensing drugs,29:Healthcare Practitioners and Technical Occupations,
chief,foreman.n.01,a person who exercises control over workers,General,
chief constable,chief_constable.n.01,the head of the police force in a county (or similar area),33:Protective Service Occupations,
chief of staff,chief_of_staff.n.01,the senior officer of a service of the armed forces,55:Military Specific Occupations,
chiropractor,chiropractor.n.01,a therapist who practices chiropractic,29:Healthcare Practitioners and Technical Occupations,
choreographer,choreographer.n.01,someone who creates new dances,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
cleaner,cleaner.n.02,the operator of dry-cleaning establishment,51:Production Occupations,
cleaner,cleaner.n.03,someone whose occupation is cleaning,37:Building and Grounds Cleaning and Maintenance Occupations,
cleaning lady,charwoman.n.01,a human female employed to do housework,37:Building and Grounds Cleaning and Maintenance Occupations,
clergyman,clergyman.n.01,a member of the clergy and a spiritual leader of the Christian Church,21:Community and Social Service Occupations,
cleric,cleric.n.01,a clergyman or other person in religious orders,21:Community and Social Service Occupations,
clerk,clerk.n.01,"an employee who performs clerical work (e.g., keeps records or accounts)",43:Office and Administrative Support Occupations,
clerk,salesclerk.n.01,a salesperson in a store,41:Sales and Related Occupations,
coach,coach.n.01,(sports) someone in charge of training an athlete or a team,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
coach,coach.n.02,"a person who gives private instruction (as in singing, acting, etc.)",25:Educational Instruction and Library Occupations,"27:Arts, Design, Entertainment, Sports, and Media Occupations"
coachman,coachman.n.01,a man who drives a coach (or carriage),53:Transportation and Material Moving Occupations,
cobbler,cobbler.n.01,a person who makes or repairs shoes,51:Production Occupations,
columnist,columnist.n.01,a journalist who writes editorials,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
comedian,comedian.n.01,a professional performer who tells jokes and performs comical acts,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
comedian,comedian.n.02,an actor in a comedy,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
comic,comedian.n.01,a professional performer who tells jokes and performs comical acts,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
commandant,commanding_officer.n.01,an officer in command of a military unit,55:Military Specific Occupations,
commander,air_force_officer.n.01,an officer in the airforce,55:Military Specific Occupations,
commander,commander.n.02,someone in an official position of authority who can command or control others,11:Management Occupations,
commander,commander.n.03,a commissioned naval officer who ranks above a lieutenant commander and below a captain,55:Military Specific Occupations,
commander,commanding_officer.n.01,an officer in command of a military unit,55:Military Specific Occupations,
commander in chief,commander_in_chief.n.01,the officer who holds the supreme command,55:Military Specific Occupations,
commanding officer,commanding_officer.n.01,an officer in command of a military unit,55:Military Specific Occupations,
commando,commando.n.01,a member of a military unit trained as shock troops for hit-and-run raids,55:Military Specific Occupations,
commentator,commentator.n.02,a writer who reports and analyzes events of the day,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
commentator,observer.n.02,an expert who observes and comments on something,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
commissioner,commissioner.n.01,a government administrator,11:Management Occupations,
commissioner,commissioner.n.02,a member of a commission,11:Management Occupations,
composer,composer.n.01,someone who composes music as a profession,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
concierge,concierge.n.01,a French caretaker of apartments or a hotel; lives on the premises and oversees people entering and leaving and handles mail and acts as janitor or porter,39:Personal Care and Service Occupations,
conductor,conductor.n.01,the person who leads a musical group,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
conductor,conductor.n.03,the person who collects fares on a public conveyance,53:Transportation and Material Moving Occupations,
confessor,confessor.n.01,a priest who hears confession and gives absolution,21:Community and Social Service Occupations,
congressman,congressman.n.01,a member of the United States House of Representatives,11:Management Occupations,
congresswoman,congressman.n.01,a member of the United States House of Representatives,11:Management Occupations,
constable,constable.n.01,a lawman with less authority and jurisdiction than a sheriff,33:Protective Service Occupations,
constable,constable.n.03,a police officer of the lowest rank,33:Protective Service Occupations,
construction worker,construction_worker.n.01,a worker skilled in building offices or dwellings etc.,37:Building and Grounds Cleaning and Maintenance Occupations,47:Construction and Extraction Occupations
consultant,adviser.n.01,an expert who gives advice,General,
contractor,contractor.n.01,someone (a person or firm) who contracts to build things,13:Business and Financial Operations Occupations,
contractor,contractor.n.02,the bridge player in contract bridge who wins the bidding and can declare which suit is to be trumps,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
cook,cook.n.01,someone who cooks food,35:Food Preparation and Serving Related Occupations,
cop,bull.n.05,uncomplimentary terms for a policeman,33:Protective Service Occupations,
coroner,coroner.n.01,a public official who investigates by inquest any death not due to natural causes,33:Protective Service Occupations,
corporal,corporal.n.01,a noncommissioned officer in the Army or Air Force or Marines,55:Military Specific Occupations,
correspondent,correspondent.n.02,a journalist employed to provide news stories for newspapers or broadcast media,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
councillor,council_member.n.01,a member of a council,11:Management Occupations,
councilman,councilman.n.01,a man who is a council member,11:Management Occupations,
councillor,,,11:Management Occupations,
counsel,advocate.n.02,a lawyer who pleads cases in court,23:Legal Occupations,
counsellor,advocate.n.02,a lawyer who pleads cases in court,23:Legal Occupations,
counsellor,counselor.n.01,someone who gives advice about problems,21:Community and Social Service Occupations,
counsellor,counselor.n.02,someone who has supervisory duties at a summer camp,21:Community and Social Service Occupations,
courier,messenger.n.01,a person who carries a message,43:Office and Administrative Support Occupations,
cowboy,cowboy.n.01,a hired hand who tends cattle and performs other duties on horseback,"45:Farming, Fishing, and Forestry Occupations",
cowboy,cowboy.n.02,a performer who gives exhibitions of riding and roping and bulldogging,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
craftsman,craftsman.n.01,a professional whose work is consistently of high quality,51:Production Occupations,
craftsman,craftsman.n.02,a creator of great skill in the manual arts,51:Production Occupations,
craftsman,craftsman.n.03,a skilled worker who practices some trade or handicraft,51:Production Occupations,
crew member,crewman.n.02,a member of a flight crew,53:Transportation and Material Moving Occupations,
crewman,crewman.n.02,a member of a flight crew,53:Transportation and Material Moving Occupations,
crewman,sailor.n.01,any member of a ship's crew,53:Transportation and Material Moving Occupations,
critic,critic.n.01,a person who is professionally engaged in the analysis and interpretation of works of art,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
tutor,coach.n.02,"a person who gives private instruction (as in singing, acting, etc.)",25:Educational Instruction and Library Occupations,
custodian,custodian.n.01,one having charge of buildings or grounds or animals,37:Building and Grounds Cleaning and Maintenance Occupations,
cutler,cutler.n.01,a dealer in cutlery,41:Sales and Related Occupations,
cutter,cutter.n.02,someone who carves the meat,51:Production Occupations,
cutter,cutter.n.03,someone whose work is cutting (as e.g. cutting cloth for garments),51:Production Occupations,
cutter,stonecutter.n.01,someone who cuts or carves stone,51:Production Occupations,
district attorney,district_attorney.n.01,an official prosecutor for a judicial district,23:Legal Occupations,
dancer,dancer.n.01,a performer who dances professionally,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
dancer,dancer.n.02,a person who participates in a social gathering arranged for dancing (as a ball),"27:Arts, Design, Entertainment, Sports, and Media Occupations",
dci,director_of_central_intelligence.n.01,the head of the United States Intelligence Community and director of the Central Intelligence Agency,11:Management Occupations,
deacon,deacon.n.01,a Protestant layman who assists the minister,21:Community and Social Service Occupations,
deacon,deacon.n.02,a cleric ranking just below a priest in Christian churches; one of the Holy Orders,21:Community and Social Service Occupations,
dealer,dealer.n.05,the person who distributes the playing cards in a card game,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
dealer,trader.n.01,someone who purchases and maintains an inventory of goods to be sold,41:Sales and Related Occupations,
dean,dean.n.01,an administrator in charge of a division of a university or college,11:Management Occupations,
dean,dean.n.03,a man who is the senior member of a group,General,
dean,dean.n.04,(Roman Catholic Church) the head of the College of Cardinals,21:Community and Social Service Occupations,
decorator,decorator.n.02,someone who decorates,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
decorator,interior_designer.n.01,a person who specializes in designing architectural interiors and their furnishings,17:Architecture and Engineering Occupations,
dj,,,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
defense attorney,defense_attorney.n.01,the lawyer representing the defendant,23:Legal Occupations,
delivery boy,deliveryman.n.01,someone employed to make deliveries,53:Transportation and Material Moving Occupations,
dentist,dentist.n.01,a person qualified to practice dentistry,29:Healthcare Practitioners and Technical Occupations,
department head,,,11:Management Occupations,
deputy,deputy.n.01,someone authorized to exercise the powers of sheriff in emergencies,33:Protective Service Occupations,
deputy,deputy.n.02,an assistant with power to act when his superior is absent,General,
deputy,deputy.n.03,a member of the lower chamber of a legislative assembly (such as in France),11:Management Occupations,23:Legal Occupations
designer,architect.n.01,someone who creates plans to be used in making something (such as buildings),17:Architecture and Engineering Occupations,
designer,couturier.n.01,someone who designs clothing,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
designer,graphic_designer.n.01,someone who specializes in graphic design,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
designer,interior_designer.n.01,a person who specializes in designing architectural interiors and their furnishings,17:Architecture and Engineering Occupations,
detective,detective.n.01,a police officer who investigates crimes,33:Protective Service Occupations,
detective,detective.n.02,an investigator engaged or employed in obtaining information not easily available to the public,33:Protective Service Occupations,
developer,developer.n.01,someone who develops real estate (especially someone who prepares a site for residential or commercial use),37:Building and Grounds Cleaning and Maintenance Occupations,
digger,digger.n.01,a laborer who digs,47:Construction and Extraction Occupations,
director,conductor.n.01,the person who leads a musical group,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
director,director.n.01,someone who controls resources and expenditures,11:Management Occupations,13:Business and Financial Operations Occupations
director,director.n.02,member of a board of directors,11:Management Occupations,
director,director.n.03,someone who supervises the actors and directs the action in the production of a show,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
director,film_director.n.01,the person who directs the making of a film,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
dispatcher,dispatcher.n.02,employee of a transportation company who controls the departures of vehicles according to weather conditions and in the interest of efficient service,43:Office and Administrative Support Occupations,
dispatcher,starter.n.03,the official who signals the beginning of a race or competition,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
distributor,allocator.n.01,a person with authority to allot or deal out or apportion,Can't Say,
distributor,distributor.n.01,someone who markets merchandise,41:Sales and Related Occupations,
diver,diver.n.01,someone who works underwater,"49:Installation, Maintenance, and Repair Occupations",
dj,disk_jockey.n.01,a person who announces and plays popular recorded music,"27:Arts, Design, Entertainment, Sports, and Media Occupations",
